fid;DN;a_quilômetros quadrados;p_quilômetros
588;21;0.01;0.4
589;15;0.01;0.4
590;21;0;0.17
591;12;0;0.17
592;21;0;0.12
593;21;0;0.12
594;21;0;0.17
595;15;0.06;1.85
596;15;0.05;1.78
597;15;0.02;0.64
598;3;0.01;0.46
599;33;0.01;0.35
600;21;0.02;0.87
601;21;0;0.29
602;21;0.01;0.52
603;21;0;0.23
604;3;0;0.17
605;21;0;0.23
606;3;0.19;3.85
607;21;0;0.17
608;21;0;0.12
609;21;0;0.12
610;3;0;0.12
611;21;0;0.12
612;3;0;0.12
613;21;0;0.12
614;21;0.02;1.09
615;21;0.01;0.53
616;21;0;0.17
617;21;0;0.12
618;21;0;0.12
619;21;0;0.17
620;21;0;0.28
621;21;0.01;0.51
622;21;0;0.12
623;21;0;0.17
624;21;0.01;0.69
625;15;0.36;5.8
626;21;0;0.17
627;21;0.08;2.72
628;21;0.01;0.4
629;21;0;0.12
630;21;0.01;0.63
631;21;0;0.12
632;15;0.12;2.46
633;24;0.07;2.54
634;21;0;0.29
635;21;0.01;0.51
636;15;0;0.12
637;21;0;0.12
638;15;0;0.12
639;3;0;0.12
640;21;0;0.12
641;21;0.17;6.62
642;15;0.08;1.67
643;25;0.03;0.87
644;3;1.16;13.53
645;15;0.05;1.55
646;21;0.04;1.56
647;15;0.01;0.52
648;21;0;0.23
649;3;0;0.12
650;21;0;0.17
651;3;0;0.12
652;15;0;0.29
653;15;0.01;0.4
654;21;0;0.29
655;21;0;0.17
656;21;0;0.17
657;21;0;0.12
658;21;0.01;0.46
659;21;0;0.12
660;12;0;0.12
661;21;0;0.12
662;3;0.01;0.35
663;21;0.16;5.76
664;24;0.1;1.9
665;15;0;0.17
666;21;0.01;0.46
667;21;0;0.35
668;21;0;0.17
669;12;0;0.23
670;21;0;0.17
671;21;0;0.12
672;21;0;0.12
673;3;0;0.12
674;15;0.07;2.2
675;3;0;0.29
676;15;0.1;2.54
677;15;0.01;0.69
678;21;0;0.17
679;21;0;0.34
680;21;0;0.23
681;24;0.12;3.8
682;21;0.02;1.04
683;21;0.1;2.77
684;12;0.01;0.58
685;21;0.31;8.87
686;15;0.01;0.46
687;21;0.11;3.92
688;21;0.04;1.79
689;21;0.01;0.4
690;3;0;0.23
691;3;0;0.12
692;21;0;0.12
693;21;0;0.12
694;3;0;0.12
695;21;0;0.17
696;21;0;0.41
697;21;0;0.29
698;25;0;0.12
699;21;0;0.12
700;15;0;0.12
701;21;0;0.17
702;21;0;0.17
703;21;0;0.12
704;3;0;0.12
705;21;0.01;0.64
706;21;0.01;0.46
707;21;0;0.17
708;21;0;0.12
709;21;0.01;0.52
710;3;0;0.17
711;3;0;0.12
712;3;0;0.12
713;21;0;0.12
714;21;0;0.12
715;3;0;0.12
716;3;0;0.12
717;21;0;0.12
718;24;0.1;2.76
719;21;0.03;1.03
720;3;0.01;0.69
721;3;0.03;0.75
722;15;0.38;5.64
723;15;0;0.23
724;21;0;0.12
725;21;0;0.12
726;21;0.18;5.59
727;21;0;0.12
728;15;0;0.12
729;21;0;0.12
730;3;0;0.12
731;15;0.02;0.92
732;21;0.04;2.03
733;15;0.01;0.64
734;15;0.08;2.08
735;21;0.01;0.57
736;21;0;0.35
737;21;0;0.12
738;21;0;0.12
739;15;0;0.35
740;15;0;0.12
741;21;0;0.12
742;15;0;0.23
743;3;0.04;1.21
744;21;0;0.17
745;21;0.01;0.63
746;21;0;0.12
747;21;0;0.12
748;21;0.01;0.74
749;15;0.06;1.96
750;21;0;0.12
751;21;0.06;1.79
752;12;0.04;1.38
753;15;0.03;1.32
754;3;0.02;0.75
755;21;0.01;0.4
756;21;0;0.12
757;21;0;0.12
758;21;0;0.12
759;21;0;0.12
760;21;0.02;1.1
761;15;0.04;0.92
762;21;0.01;0.58
763;21;0;0.12
764;3;0;0.12
765;21;0;0.12
766;21;0;0.17
767;12;0;0.29
768;21;0;0.12
769;25;0.01;0.52
770;3;0;0.35
771;21;0.03;1.49
772;15;0;0.23
773;21;0;0.17
774;21;0;0.23
775;3;0;0.29
776;21;0;0.12
777;3;0;0.12
778;3;0;0.12
779;21;0.05;2.07
780;21;0.01;0.46
781;21;0;0.12
782;21;0;0.17
783;33;0.01;0.63
784;21;0.01;0.52
785;33;0;0.35
786;15;0.02;0.8
787;12;0;0.35
788;21;0;0.23
789;21;0.01;0.57
790;21;0;0.17
791;15;0;0.17
792;21;0.01;0.52
793;21;0;0.12
794;21;0.05;2.29
795;21;0;0.12
796;21;0;0.17
797;21;0.16;3.69
798;21;0.15;4.83
799;3;0.01;0.4
800;3;0.01;0.52
801;21;0;0.17
802;21;0;0.12
803;21;0;0.12
804;21;0;0.12
805;21;0;0.12
806;15;0;0.4
807;3;0.01;0.52
808;3;0;0.17
809;21;0.01;0.52
810;21;0;0.12
811;21;0.18;3.52
812;15;0.02;0.92
813;21;0.01;0.46
814;21;0.01;0.52
815;15;0.01;0.57
816;33;0;0.29
817;21;0;0.23
818;21;0.03;1.38
819;21;0.1;2.41
820;21;0;0.12
821;21;0;0.12
822;9;0;0.12
823;21;0;0.12
824;3;0;0.17
825;12;0.02;0.64
826;21;0.25;5.28
827;21;0.01;0.58
828;21;0;0.29
829;21;0;0.23
830;21;0;0.23
831;21;0;0.12
832;33;0;0.12
833;3;0;0.17
834;21;0;0.12
835;21;0.05;2.02
