Length;Heigth
34081.52818;707.7017212
34122.5952;703.8031006
34151.63397;712.3937988
34180.67274;717.0924683
34209.71152;720.4332275
34238.75029;720.4332275
34267.78906;720.4332275
34296.82783;721.8948364
34325.8666;728.1065063
34366.93363;728.1893921
34408.00065;731.7358398
34449.06768;731.7358398
34490.1347;731.7358398
34531.20173;731.7358398
34572.26875;731.7358398
34601.30752;731.7358398
34642.37455;731.7358398
34671.41332;729.0046997
34700.45209;727.8939819
34729.49086;727.8939819
34758.52963;729.7245483
34799.59666;732.5305786
34828.63543;732.7272949
34869.70245;734.9832153
34898.74123;734.9832153
34939.80825;734.9832153
34980.87528;734.9832153
35009.91405;736.2932129
35038.95282;738.8885498
35067.99159;740.9036865
35109.05861;740.9036865
35150.12564;742.1030884
35191.19266;740.1842041
35232.25969;739.4291992
35273.32671;739.4291992
35314.39374;739.4291992
35355.46076;739.4291992
35396.52779;739.4291992
35437.59481;739.4291992
35466.63358;739.4291992
35507.70061;735.2041016
35548.76763;739.1474609
35589.83466;737.2769775
35630.90168;740.9119263
35671.96871;741.642395
35701.00748;738.5706177
35742.0745;738.5706177
35783.14153;738.5706177
35824.20855;740.2001953
35853.24732;738.4816895
35882.2861;738.4816895
35911.32487;738.4816895
35940.36364;738.4816895
35969.40241;738.4816895
36010.46944;741.1721191
36051.53646;741.1721191
36092.60348;741.1721191
36133.67051;741.1721191
36174.73753;741.1721191
36203.77631;741.1721191
36232.81508;741.1721191
36261.85385;741.1721191
36302.92087;745.9916992
36331.95964;748.5701294
36360.99842;749.8400879
36402.06544;749.8400879
36431.10421;749.8400879
36460.14298;749.8400879
36489.18176;749.8400879
36518.22053;749.8400879
36559.28755;749.8400879
36600.35458;749.8400879
36641.4216;749.8400879
36670.46037;749.8400879
36699.49914;749.8400879
36728.53792;755.3786621
36769.60494;758.4343262
36810.67197;758.4343262
36839.71074;758.4343262
36868.74951;758.5155029
36909.81653;758.5155029
36950.88356;758.5155029
36979.92233;758.5155029
37020.98935;758.5155029
37062.05638;758.5155029
37091.09515;753.3514404
37132.16218;751.019165
37161.20095;751.019165
37190.23972;751.019165
37219.27849;751.019165
37260.34551;752.9127808
37289.38429;761.9504395
37330.45131;764.7250977
37371.51834;764.7250977
37400.55711;764.7250977
37441.62413;763.9695435
37482.69116;763.9695435
37511.72993;763.9695435
37540.7687;767.1098633
37581.83572;774.4099121
37610.8745;774.8776245
37651.94152;783.1513062
37693.00855;781.6271362
37734.07557;765.0421753
37763.11434;763.982605
37804.18137;763.982605
37833.22014;766.4786987
37874.28716;766.5144043
37915.35419;764.0424805
37956.42121;764.0424805
37997.48824;764.0424805
38026.52701;765.234375
38067.59403;763.4016724
38096.6328;762.861145
38125.67158;762.8143311
38154.71035;762.0500488
38183.74912;762.0500488
38224.81614;763.4710693
38265.88317;767.4967041
38294.92194;763.2598267
38335.98896;765.1746216
38377.05599;767.7982178
38406.09476;771.0172119
38435.13353;768.7831421
38464.1723;766.4490356
38493.21108;764.1618042
38522.24985;762.262207
38563.31687;767.2935181
38592.35564;766.701355
38621.39442;766.701355
38650.43319;766.701355
38691.50021;766.8696289
38732.56724;767.6303711
38773.63426;778.6390381
38814.70129;781.1139526
38855.76831;780.355896
38884.80708;766.368042
38925.87411;773.2177734
38966.94113;777.571228
39008.00816;772.4651489
39049.07518;767.9130249
39078.11395;766.4484253
